property_id,source,title,url,price,rooms,bathrooms,sqm,has_pool,has_ac,orientation,property_type,operation,city,district,neighborhood,postal_code,latitude,longitude,energy_rating,year_built,floor,terrace,elevator,parking,is_favourite,similarity_score,similarity_profile,first_seen,last_seen,status
amat_practica-i-accesible-planta-baixa-a-tocar-del-monestir,amat,"Pràctica i accesible planta baixa, a tocar del Monestir",https://www.amatimmobiliaris.com/ca/venda/apartament-pis/barcelona/sant-cugat-del-valles/practica-i-accesible-planta-baixa-a-tocar-del-monestir,310000.0,2.0,1.0,59.0,0,0,,,,Sant Cugat del Vallès,,,,,,,,,0,0,0,0,,,2026-04-29T19:06:06+00:00,2026-04-29T19:08:50+00:00,active
amat_fantastica-casa-de-disseny-a-mirasol,amat,Fantàstica casa de disseny a Mirasol,https://www.amatimmobiliaris.com/ca/venda/casa/barcelona/sant-cugat-del-valles/fantastica-casa-de-disseny-a-mirasol,1225000.0,5.0,4.0,254.0,0,0,,,,Sant Cugat del Vallès,,,,,,,,,0,0,0,0,,,2026-04-29T19:06:06+00:00,2026-04-29T19:08:50+00:00,active
amat_casa-a-sant-cugat-dos-habitatges-en-un,amat,Casa a Sant Cugat: Dos habitatges en un,https://www.amatimmobiliaris.com/ca/venda/casa/barcelona/sant-cugat-del-valles/casa-a-sant-cugat-dos-habitatges-en-un,845000.0,6.0,3.0,285.0,0,0,,,,Sant Cugat del Vallès,,,,,,,,,0,0,0,0,,,2026-04-29T19:06:06+00:00,2026-04-29T19:08:50+00:00,active
amat_placa-daparcament-en-venda-al-centre,amat,Plaça d'aparcament en venda al centre,https://www.amatimmobiliaris.com/ca/venda/placa-parking/barcelona/sant-cugat-del-valles/placa-daparcament-en-venda-al-centre,20000.0,,,,0,0,,,,Sant Cugat del Vallès,,,,,,,,,0,0,0,0,,,2026-04-29T19:06:06+00:00,2026-04-29T19:08:50+00:00,active
amat_magnifica-casa-al-golf-amb-grans-espais,amat,"Magnífica casa al Golf, amb grans espais",https://www.amatimmobiliaris.com/ca/venda/casa/barcelona/sant-cugat-del-valles/magnifica-casa-al-golf-amb-grans-espais,1575000.0,6.0,6.0,566.0,0,0,,,,Sant Cugat del Vallès,,,,,,,,,0,0,0,0,,,2026-04-29T19:06:06+00:00,2026-04-29T19:08:50+00:00,active
qgat_homes_ref-1717,qgat_homes,Casa amb vistes a Mirasol,https://www.qgathomes.com/ca/venda/a-barcelona-sant_cugat_del_valles/ref-1717,1150000.0,5.0,4.0,278.0,0,0,,,,Sant Cugat del Vallès,,,,,,,,,0,0,0,0,,,2026-05-09T11:22:01+00:00,2026-05-09T11:30:29+00:00,active
qgat_homes_ref-1682,qgat_homes,Casa amb vistes a Mirasol,https://www.qgathomes.com/ca/venda/a-barcelona-sant_cugat_del_valles/ref-1682,1150000.0,5.0,4.0,278.0,0,0,,,,Sant Cugat del Vallès,,,,,,,,,0,0,0,0,,,2026-05-09T11:22:01+00:00,2026-05-09T11:30:29+00:00,active
qgat_homes_ref-1716,qgat_homes,Àtic en venda a Sant Cugat del Vallès - Can Mates,https://www.qgathomes.com/ca/venda/a-barcelona-sant_cugat_del_valles/ref-1716,615000.0,3.0,2.0,111.0,0,0,,,,Sant Cugat del Vallès,,,,,,,,,0,0,0,0,,,2026-05-09T11:22:01+00:00,2026-05-09T11:30:29+00:00,active
qgat_homes_ref-1699,qgat_homes,Cases en venda a Sant Cugat del Vallès - Valldoreix,https://www.qgathomes.com/ca/venda/a-barcelona-sant_cugat_del_valles/ref-1699,589000.0,1.0,1.0,60.0,0,0,,,,Sant Cugat del Vallès,,,,,,,,,0,0,0,0,,,2026-05-09T11:22:01+00:00,2026-05-09T11:30:29+00:00,active
qgat_homes_ref-1685,qgat_homes,Casa adossada a Sant Domenech,https://www.qgathomes.com/ca/venda/a-barcelona-sant_cugat_del_valles/ref-1685,775000.0,4.0,2.0,171.0,0,0,,,,Sant Cugat del Vallès,,,,,,,,,0,0,0,0,,,2026-05-09T11:22:01+00:00,2026-05-09T11:30:29+00:00,active
